serial_nr,stationid,lon,lat,site,stationname
# Tested good list of interesting USGS river gages in the NE
1,2012500,-79.9772797,37.87679164,USGS,"JACKSON RIVER AT FALLING SPRING, VA"
2,212378405,-80.0618056,35.20066667,USGS,"PEE DEE R AT HWY731 BL LK TILLERY NR NORWOOD, NC"
3,4232034,-77.4787222,43.0278333,USGS,IRONDEQUOIT CR AT RAILROAD MILLS NEAR FISHERS NY
4,7288580,-90.4387103,33.52957845,USGS,"QUIVER RIVER NR SUNFLOWER, MS"
5,1111500,-71.56200758,41.99648716,USGS,"BRANCH RIVER AT FORESTDALE, RI"
6,7373250,-92.1320768,31.5846188,USGS,"HEMPHILL CREEK AT NEBO, LA"
7,7381454,-91.2158333,29.909111100000004,USGS,"Belle River at Hwy 70 near Pierre Part, LA"
8,2238000,-81.78368940000001,28.87082178,USGS,"HAYNES CREEK AT LISBON, FL"
9,7315200,-98.0850406,33.81287833,USGS,"E Fk Little Wichita Rv nr Henrietta, TX"
10,8076997,-95.2974366,29.596899100000005,USGS,"TCEQQW Clear Ck at Mykawa St nr Pearland, TX"
11,2335000,-84.2019444,33.9972222,USGS,"CHATTAHOOCHEE RIVER NEAR NORCROSS, GA"
12,7343000,-95.5877347,33.47483009,USGS,"N Sulphur Rv nr Cooper, TX"
13,2064000,-78.95973740000002,37.12680956,USGS,"FALLING RIVER NEAR NARUNA, VA"
14,8068002,-95.4379972,30.30150833,USGS,"Stewarts Ck at Silverdale Dr nr Conroe, TX"
15,8117720,-95.58825,29.01100278,USGS,"San Bernard Rv at FM 521 nr Cedar Lane, TX"
16,1585075,-76.34263889,39.40852778,USGS,"FOSTER BRANCH NEAR JOPPATOWNE, MD"
17,1601500,-78.7880278,39.6696111,USGS,"WILLS CREEK NEAR CUMBERLAND, MD"
18,7375280,-90.4611111,31.0122222,USGS,"TANGIPAHOA RIVER AT OSYKA, MS"
19,1351450,-74.25477778,42.7605833,USGS,SCHOHARIE CREEK AT ESPERANCE NY
20,1347000,-74.7794444,43.0147222,USGS,MOHAWK RIVER NEAR LITTLE FALLS NY
21,8162501,-95.9975,28.77416667,USGS,"Colorado Rv nr Wadsworth, TX"
