serial_nr,stationid,stationname,state,source,vertical_datum,NOAA lon,NOAA lat,navd_to_msl [ft],navd_to_msl [m],Datum Source,lon,lat,bathy,Element,Node
-,-,-,-,-,,deg,deg,ft,m,-,deg,deg,m MSL,-,-
90,8735180,Dauphin Island,AL,NOAA_NOS,MSL,-88.0732,30.25,-0.06,-0.02,NOAA gage,-88.072,30.25,1.735772372,62633,33635
99,8741041,Dock E Port of Pascagoula,MS,NOAA_NOS,MSL,-88.5054,30.3477,,0,NOAA gage,-88.508,30.343,2.03284064,55481,30086
101,8747437,Bay Waveland Yacht Club,MS,NOAA_NOS,MSL,-89.3241,30.32639,-0.2,-0.06,NOAA gage,-89.3241,30.32639,1.253351717,41513,22091
102,8760721,Pilottown,LA,NOAA_NOS,MSL,-89.25831,29.17831,-0.78,-0.24,Vdatum,-89.25831,29.17831,4.491429928,82794,44414
103,8760922,Pilots Station East SW Pass,LA,NOAA_NOS,MSL,-89.406667,28.931667,-1.03,-0.31,NOAA gage,-89.406667,28.931667,3.112596312,114454,61173
104,8761305,Shell Beach,LA,NOAA_NOS,MSL,-89.678981,29.870579,-0.03,-0.01,NOAA gage,-89.678981,29.870579,2.337304992,19373,10477
105,8761724,Grand Isle,LA,NOAA_NOS,MSL,-89.94894,29.26333,-0.18,-0.06,Vdatum,-89.94894,29.26333,0.565486632,118395,63889
106,8761927,New Canal Station,LA,NOAA_NOS,MSL,-90.11333,30.02722,-0.22,-0.07,NOAA gage,-90.11333,30.02722,-0.293991933,1739,1225
107,8761955,Carrollton,LA,NOAA_NOS,MSL,-90.13547,29.93289,NaN,NaN,NOAA gage,-90.137257,29.93289,27.09112093,754,642
110,8762483,I-10 Bonnet Carre Floodway,LA,NOAA_NOS,MSL,-90.39,30.068333,-0.37,-0.11,NOAA gage,-90.39,30.068333,0.079977238,1283,1028
111,8764044,Berwick Atchafalaya River,LA,NOAA_NOS,MSL,-91.23761,29.6675,-1.62,-0.49,NOAA gage,-91.243,29.652,5.751912992,89443,47952
112,8764227,LAWMA Amerada Pass,LA,NOAA_NOS,MSL,-91.33811,29.44961,-0.36,-0.11,NOAA gage,-91.33811,29.44961,-0.001421562,135407,72430
113,8764314,Eugene Island North,LA,NOAA_NOS,MSL,-91.3839,29.3675,-0.36,-0.11,Vdatum,-91.3839,29.3675,4.314922275,138766,74201
114,8766072,Freshwater Canal Locks,LA,NOAA_NOS,MSL,-92.305,29.555,NaN,NaN,none,-92.305,29.532,1.183933398,145081,77653
117,8768094,Calcasieu Pass,LA,NOAA_NOS,MSL,-93.34289,29.76817,0.1,0.03,NOAA gage,-93.34289,29.76817,1.786770829,155246,82818
118,8770570,Sabine Pass North,TX,NOAA_NOS,MSL,-93.8701,29.7284,-1.39,-0.42,NOAA gage,-93.86811,29.7284,11.38685451,148864,79496
