serial_nr,stationid,Lon,Lat,Name
#Contrails RIVER data with hand curated APS Node assignments
0,WNRN7,35.9939028,-76.9426028,Cashie R in Windsor at S. King St
1,30032,35.0583840,-78.8845000,Cross Creek at Hillsboro St. in Fayetteville
2,STON7,35.9688000,-77.8499640,Stony Cr. at Winstead Ave. Rocky Mount
3,30009,35.6879270,-77.9479020,Contentnea Cr @ US301
4,30033,35.3118000,-78.6457000,Black River at Antioch Church Rd
5,30050,36.4197851,-77.6331588,Chockoyette Cr. at I-95
6,STYN7,35.9781910,-77.9724820,Stony Creek at W. Washington St in Nashville
7,30016,35.6004500,-77.3682400,Green Mill Run at E. 14th St. at Greenville
8,30062,36.4101362,-77.4978874,Occoneechee Creek at NC158
9,30003,33.9550600,-78.5779400,Cawcaw Swamp @ No. 5 School Rd NW
10,30060,34.9187800,-77.6166874,New River at NC 24 nr Richlands
11,HSWN7,35.7197900,-77.9201200,Hominy Swamp at Mercer St in Wilson
12,30061,34.9992300,-78.6460057,South River at NC 24 at Autryville
13,WSNN7,35.7422000,-77.9519000,Hominy Swamp at Forest Hills Rd nr Wilson
14,RMBN7,35.9261000,-77.8306000,Tar River at US 301 Bypass at Rocky Mount
15,30010,35.6067700,-77.5747200,Little Contentnea Creek @ NC 121
16,30011,35.9476220,-77.4755570,Deep Ck @ Dickens Rd
17,WHSN7,34.3170320,-78.7060370,Soules Swamp at S. Madison St in Whiteville
18,30006,35.0738300,-78.9767460,Beaver Cr. @ SR 1404
