serial_nr,stationid,lon,lat,site,stationname
# List of interesting USGS river gages in the NE
0,08211500,-97.62527299999999,27.88307697,USGS,"Nueces Rv at Calallen, TX"
1,01575900,-76.5155214,40.0628745,USGS,"Chiques Creek near Marietta, PA"
2,02226362,-82.56111109999999,31.30275,USGS,"SATILLA RIVER AT GA 158, NEAR WAYCROSS, GA"
3,02467000,-87.87834759999998,32.51958077,USGS,"TOMBIGBEE R AT DEMOPOLIS L&D NEAR COATOPA, AL."
4,02024750,-79.37639420000001,37.57983127,USGS,"JAMES RIVER AT BEDFORD DAM NR MAJOR, VA"
5,07281600,-90.2111111,33.65138889,USGS,"TALLAHATCHIE RIVER AT MONEY, MS"
6,02312598,-82.2423118,28.724155699999997,USGS,"WITHLACOOCHEE RIVER NR PINEOLA, FL"
7,04290500,-73.1387381,44.47893867,USGS,"WINOOSKI RIVER NEAR ESSEX JUNCTION, VT"
8,02237051,-81.88452388,28.67943868,USGS,"PALATLAKAHA R BELOW STRUCTURE M-5 NR OKAHUMPKA, FL"
9,02116500,-80.3869444,35.85666667,USGS,"YADKIN RIVER AT YADKIN COLLEGE, NC"
10,02313095,-82.43544440000001,29.097111100000003,USGS,"RAINBOW RIVER BELOW RAINBOW SPRINGS STATE PARK, FL"
11,01477120,-75.25916670000001,39.74055556,USGS,Raccoon Creek near Swedesboro NJ
12,01573710,-76.68775,40.14930556,USGS,"Conewago Creek near Falmouth, PA"
13,02327500,-84.04677779999999,30.87583333,USGS,"OCHLOCKONEE RIVER NEAR THOMASVILLE, GA"
14,01534000,-75.89464168,41.55841008,USGS,"Tunkhannock Creek near Tunkhannock, PA"
15,02197020,-82.13919440000001,33.37366667,USGS,"SPIRIT CREEK AT US 1, NEAR AUGUSTA, GA"
16,02301635,-82.26858889,27.85715556,USGS,ALAFIA RIVER NEAR BELL SHOALS RD NR RIVERVIEW FL
17,02158408,-82.13010899999999,34.92095239,USGS,"SOUTH TYGER RIVER BELOW DUNCAN, SC"
18,01104475,-71.2681121,42.3545408,USGS,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA"
19,01162500,-72.1150812,42.6825859,USGS,"PRIEST BROOK NEAR WINCHENDON, MA"
20,02234000,-81.0353374,28.714161100000002,USGS,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL"
21,01104420,-71.25755649999999,42.4198177,USGS,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA"
22,01105608,-70.92638889,42.21305556,USGS,"WHITMANS POND FISH LADDER AT EAST WEYMOUTH, MA"
23,04275500,-73.6426667,44.45175,USGS,AUSABLE RIVER NEAR AU SABLE FORKS NY
24,02492000,-89.89729559999999,30.62935636,USGS,"Bogue Chitto River near Bush, LA"
25,02309200,-82.804,27.94240833,USGS,RATTLESNAKE CREEK AT BELLEAIR FL
26,02228500,-82.2303954,30.51773125,USGS,"NORTH PRONG ST. MARYS RIVER AT MONIAC, GA"
27,01203600,-73.1784667,41.57585,USGS,"NONEWAUG RIVER AT MINORTOWN, CT"
28,01538510,-75.9938142,41.00536125,USGS,"L Nescopeck Creek Tributary near Freeland, PA"
29,01480629,-75.82300028,39.9295515,USGS,"Buck Run at Doe Run, PA"
30,01473169,-75.46074808,40.07927367,USGS,Valley Creek at PA Turnpike Br near Valley Forge
31,02330150,-84.6679637,30.17658934,USGS,"OCHLOCKONEE RIVER NR SMITH CREEK, FLA."
32,01125490,-71.9300083,41.92784444,USGS,"LITTLE RIVER AT HARRISVILLE, CT"
33,02339500,-85.1815833,32.88663889,USGS,"CHATTAHOOCHEE RIVER AT WEST POINT, GA"
34,01480675,-75.74159878,40.09787927,USGS,"Marsh Creek near Glenmoore, PA"
35,07369000,-91.9180556,32.5,USGS,"Bayou Lafourche near Crew Lake, LA"
36,02251767,-80.5342203,27.83058119,USGS,"FELLSMERE CANAL NEAR MICCO, FL"
37,02294781,-81.8017485,27.82447253,USGS,PEACE RIVER NEAR HOMELAND FL
38,01480025,-75.64577778,39.70594444,USGS,"WHITE CLAY CREEK AT STANTON, DE"
39,02191227,-83.4680833,34.26894444,USGS,"GROVE CREEK AT US 441 AND GA 15 NEAR COMMERCE, GA"
40,04282650,-73.24901170000001,44.19810987,USGS,"LITTLE OTTER CREEK AT FERRISBURG, VT"
41,03170000,-80.55672390000001,37.03762635,USGS,"LITTLE RIVER AT GRAYSONTOWN, VA"
42,0212433550,-80.5408333,35.32166667,USGS,"ROCKY R AB IRISH BUFFALO CR NR ROCKY RIVER, NC"
43,02314500,-82.56013889,30.68102778,USGS,"SUWANNEE RIVER AT US 441, AT FARGO, GA"
44,02226180,-81.40213889,31.12675,USGS,"BRUNSWICK RIVER AT ST. SIMONS ISLAND, GA"
45,01666500,-78.0955557,38.32513047,USGS,"ROBINSON RIVER NEAR LOCUST DALE, VA"
46,02339402,-85.18786109999999,32.91819444,USGS,"CHATTAHOOCHEE RIVER BELOW WEST POINT DAM, GA"
47,08167000,-98.8971667,29.96523889,USGS,"Guadalupe Rv at Comfort, TX"
48,02131510,-79.98613889,34.03819444,USGS,"LYNCHES RIVER AT I-95 ABOVE OLANTA, SC"
